Username,Password,favorite_category,favorite_category2,avatar_filename,avatar_url,is_a_featured_user,is_a_partner,"following (comma, seperated)"
BobbyWilliams,BobbyWilliams11,Music,Soccer,BobbyWilliams.jpg,https://static.goranked.com/BobbyWilliams.jpg,YES,NO,"DuranteFietsam, BenjaminFreida, BelindaEriksson"
MargueriteAshe,MargueriteAshe11,DJ's & Beat Makers,Basketball,MargueriteAshe.jpg,https://static.goranked.com/MargueriteAshe.jpg,NO,NO,"WinonaBetthauser, KohnkeStephens, SierraFrancis"
SebastianGard,SebastianGard11,Basketball,DJ's & Beat Makers,SebastianGard.jpg,https://static.goranked.com/SebastianGard.jpg,NO,NO,"FullenWilder, ReganLaura, BrendaJiminez"
FullenWilder,FullenWilder11,Group,Instrumental,FullenWilder.jpg,https://static.goranked.com/FullenWilder.jpg,NO,NO,"CrishtiSchwartz, DarrenPeck, BrendaJiminez"
PhetSanghan,PhetSanghan11,Instrumental,Lip Sync,PhetSanghan.jpg,https://static.goranked.com/PhetSanghan.jpg,NO,NO,"LisaParker00, LeandroAumiller, PaulSalgado"
DorseyCampbell,DorseyCampbell11,Opera,Rappers,DorseyCampbell.jpg,https://static.goranked.com/DorseyCampbell.jpg,NO,NO,"CynthiaMoreno,  GraceSuko, DebraNunn"
HulmSteller,HulmSteller11,Rappers,Singers: Cover Songs,HulmStellar.jpg,https://static.goranked.com/HulmStellar.jpg,NO,NO,"AnnaBeurot, JuliaKinlaw, MargueriteAshe"
KohnkeStephens,KohnkeStephens11,Singers: Cover Songs,Singers: Original Songs,KohnkeStephens.jpg,https://static.goranked.com/KohnkeStephens.jpg,NO,NO,"PhetSanghan, AngelicaDibbern, JamieSchumacher"
TimJarrett,TimJarrett11,Car Builds,Food,TimJarrett.jpg,https://static.goranked.com/TimJarrett.jpg,NO,NO,"SamVirilio, AtaliaAdoleon, BelindaEriksson"
JeromeBerardino,JeromeBerardino11,Cosplay,Art,JeromeBerardino.jpg,https://static.goranked.com/JeromeBerardino.jpg,NO,NO,"MarcelStamenov, FannyLulkus, HarrisonFoster, JuliaKinlaw"
AnnaBeurot,AnnaBeurot11,Basketball,Workouts/Fitness,AnnaBeurot.jpg,https://static.goranked.com/AnnaBeurot.jpg,NO,NO,"RichardSonleon, CloonanPhillips, MelissaShirle"
MarcelStamenov,MarcelStamenov11,Workouts/Fitness,Soccer,MarcelStamenov.jpg,https://static.goranked.com/MarcelStamenov.jpg,NO,NO,"SebastianGard, BobbyWilliams, GriffeyRomeo"
SamVirilio,SamVirilio11,Workouts/Fitness,Basketball,SamVirilio.jpg,https://static.goranked.com/SamVirilio.jpg,NO,NO,"MindyLeblanc, CandaceMolina, PhetSanghan, GeneMetz"
FannyLulkus,FannyLulkus11,Yoga,Football,FannyLulkus.jpg,https://static.goranked.com/FannyLulkus.jpg,NO,NO,"FullenWilder, ReganLaura, BrendaJiminez"
AngelicaDibbern,AngelicaDibbern11,Football,Makeup,AngelicaDibbern.jpg,https://static.goranked.com/AngelicaDibbern.jpg,YES,NO,"GraceSuko, JuliaKinlaw, KariSosa"
HarrisonFoster,HarrisonFoster11,Men's Fashion & Modeling,TV/Film,HarrisonFoster.jpg,https://static.goranked.com/HarrisonFoster.jpg,NO,NO,"JeromeBerardino, HulmSteller, AnnaBeurot"
AtaliaAdoleon,AtaliaAdoleon11,Men's Fashion & Modeling,Men's Shoes,AtaliaAdoleon.jpg,https://static.goranked.com/AtaliaAdoleon.jpg,YES,NO,"JennyBrown, JamilaConner, MeganQualls"
DuranteFietsam,DuranteFietsam11,Men's Shoes,Nails,DuranteFietsam.jpg,https://static.goranked.com/DuranteFietsam.jpg,NO,NO,"ReganLaura, GriffeyRomeo, CandaceMolina"
RichardSonleon,RichardSonleon11,Baseball,Soccer,RichardSonleon.jpg,https://static.goranked.com/RichardSonleon.jpg,NO,NO,"DorseyCampbell, AngelicaDibbern, SierraFrancis"
JamieSchumacher,JamieSchumacher11,Baseball,Women's Shoes,JamieSchumacher.jpg,https://static.goranked.com/JamieSchumacher.jpg,NO,NO,"AngelicaDibbern, TylerWilliams, JennyBrown, LisaParker00"
CloonanPhillips,CloonanPhillips11,Experiments,Latest Trends,CloonanPhillips.jpg,https://static.goranked.com/CloonanPhillips.jpg,NO,NO,"LeandroAumiller, PaulSalgado, RobertScott99"
MelissaShirle,MelissaShirle11,Action Sports,Basketball,MelissaShirle.jpg,https://static.goranked.com/MelissaShirle.jpg,NO,NO,"RobertScott99, CurtisGregory, BrendaJiminez"
BenjaminFreida,BenjaminFreida11,Science,Football,BenjaminFreida.jpg,https://static.goranked.com/BenjaminFreida.jpg,YES,NO,"EugeneWestbrook, CynthiaMoreno, TheresaBenitez"
WinonaBetthauser,WinonaBetthauser11,Breakdance,Dance,WinonaBetthauser.jpg,https://static.goranked.com/WinonaBetthauser.jpg,NO,NO,"ReganLaura, GraceSuko"
BelindaEriksson,BelindaEriksson11,Dance,Football,BelindaEriksson.jpg,https://static.goranked.com/BelindaEriksson.jpg,YES,NO,"EugeneWestbrook, KariSosa, GraceSuko"
